dokumen_asal,input_whisper_segment,target_summary_manual
Paripurna_Ke_10_Persidangan_II_2024_2025,"hadirin sekalian. rami persilakan untuk duduk kembali. siddang dewan yang kami hormati, hadirin yang kami muliakan. sesuai dengan hasil keputusan rapat konsultasi, mengganti rapat bamus dprri antara pimpinan dpr dan pimpinan versi fraksi. tanggal 21 oktober 2024, acara rapat paripurna hari ini adalah pidato ketua dprri pada pembukaan masap persidangan 2 tahun siddang 2024-2025. sekarang kami akan menanyakan kepada siddang dewan yang terhormat. apakah acara rapat tersebut dapat distujiwi? terima kasih. hadirin yang kami hormati. pernah kami beritahukan bahwa pimpinan dewan telah menerima petikan keputusan presiden republik indonesia, nomor 156 garis miring p tahun 2024, tanggal 12 desember 2024 tentang persimian pergantian antar waktu. angkota dewan perwakilan rakyat dan angkota majelis permusiawaratan rakyat sisama sajabatan tahun 2024-2029, yaitu satu, saudari doktor randa hajah anissa shakur mag dari farksi partai kebangkitan bangsa, daerah pemilihan jawa timur ii menggantikan saudara haji faisal riza. dua, saudara muhammad hilman nufidi dari farksi partai kebangkitan bangsa, daerah pemilihan jawa timur ii menggantikan saudara doktor haji muhammad irshad yusuf semma. tiga, saudara haji muhammad kozin m.a.p. dari farksi partai kebangkitan bangsa, daerah pemilihan jawa timur iv menggantikan saudara ahmad bufron s. roj. selanjutnya, sesuai dengan ketentuan pasal 9 ayat tempat peraturan dpr-ri nomor 1 tahun 2020, tentang tatat tertip yang menyatakan angkota pengganti antar waktu. sebelum memangku jabatannya mengucapkan sumpah janji secara bersama-sama yang dipandu oleh pimpinan dpr-ri dalam rapat pari purna dpr. berdasarkan hal tersebut, kami melanyakan kepada sidang dewan yang terhormat. apakah kita dapat melakukan pelantikan angkota pengganti antar waktu dpr-ri setelah pidato pembukaan masa persidangan 2 tahun sidang 2024-2025? setuju ya. terima kasih. yang terhormat pada 2 tahun sidang, hadir yang kami muliakan, mari lah kita memasuki acara tunggal rapat pari purna dpr-ri ini, yaitu pidato ketua dpr-ri, pada pembukaan masa persidangan 2 tahun sidang 2024-2025. untuk itu izinkan saya membaca kan pidato pembukaan masa persidangan 2 tahun sidang 2024-2025 dari atas podium. assalamu alaikum warahmatullahi wabarakatuh. salam sejahtera bagi kita semua, om swastiastu, namo buddhaya, salam kebajikan. yang kami hormati para wakil ketua dpr-ri, para angkota dpr-ri dan hadir yang berbahagia.","Rapat Paripurna DPR RI menyetujui pelantikan anggota pengganti antar waktu. Tiga anggota baru dilantik, yaitu Doktor Randa Hajah Anissa Shakur, Muhammad Hilman Nufidi, dan Haji Muhammad Kozin M.A.P. Pelantikan dilakukan setelah pidato pembukaan Masa Persidangan II Tahun Sidang 2024-2025."
Paripurna_Ke_10_Persidangan_II_2024_2025,"pujisikur kehadiran allah subhanahu wa ta ala, tuhan yang mahasisah, yang telah memberikan rahmat dan karunianya. sehingga pada hari ini kita dapat kembali hadir untuk menjalankan tugas konstitusional pada masa persidangan 2 tahun sidang 2024-2025. selamat datang bagi seluruh angkota dpr-ri yang baru saja kembali dari daerah pemilihan dan bertemu dengan konstituenya. semoga selama masa reses seluruh angkota dpr-ri dapat memanfaatkannya secara optimal untuk menjaring aspirasi masyarakat dan akan menindak lanjuti melalui berbagai fungsi dpr-ri pada masa persidangan ini. atas nama pimpinan dpr-ri kami mengucapkan selamat hari natal tahun 2024 kepada yang merayakan dan selamat tahun baru 2025 kepada seluruh rakyat indonesia. semoga pada tahun 2025 ini kita semua dirahmati oleh allah subhanahu wa ta ala tuhan yang mahasisah dengan kesehatan, kesuksesan, kebahagiaan dan kebaikan untuk kita semua. dpr-ri memberikan apresiasi kepada aparat keamanan dan seluruh pihak yang terhakait sehingga perayaan natal tahun 2024 dan tahun baru 2025 dapat berjalan dengan aman, lancar, kondusif, serta riyang gembira. sidang dewan yang terhormat. masa persidangan ini akan bersamaan dengan pelaksanaan tahun pertama program pemerintahan presiden prabowo. sebagai mana lazimnya pemerintahan baru akan menjalankan berbagai program yang menjadi inisiatif baru dan penguatan-penguatan dari keberlanjutan berbagai program pemerintahan sebelumnya. rakyat selalu memiliki harapan baru dari setiap pergantian pemerintahan. begitu juga harapan rakyat kepada dpr-ri periodnya yang baru. rakyat menitipkan kedaulatannya agar dapat dilaksanakan untuk mesejah terakan hidup rakyat. setiap pemerintahan juga akan berusaha melakukan yang terbaik untuk membangun indonesia di segala bidang. membangun indonesia yang besar ini tentulah membutuhkan kerja besar dan kerja bersama dari seluruh komponen bangsa dan seluruh anak bangsa. dpr-ri melalui fungsi konstitusionalnya akan menjadi mitra kerja pemerintah dan dpr-ri akan memastikan berbagai upaya pemerintah dalam membangun indonesia. dapat terlaksana dan berjalan dengan baik, selaras dengan amanat undang-undang desar negara republik indonesia tahun 1945 dan peraturan perundang-undangan mengelola keuangan negara secara efisien, ekonomis, efektif, transparan, akuntabel, serta menjalankan kebijakan yang selalu memperhatikan rasa keadilan dan kepatutan. melalui alat kelengkapan dpr-ri dan mitra kerja pemerintah untuk menjalankan visi dan misi pembangunan indonesia, maka di setiap upaya, kebijakan, dan program kita harus memiliki arah yang sama, yaitu mengutamakan kepentingan rakyat.",Rapat Paripurna DPR RI membuka Masa Persidangan II Tahun Sidang 2024-2025. DPR RI memberikan apresiasi kepada aparat keamanan atas pelaksanaan Natal dan Tahun Baru yang aman. DPR RI akan menjadi mitra kerja pemerintah dalam membangun Indonesia. DPR RI akan memastikan kebijakan pemerintah selaras dengan amanat Undang-Undang Dasar 1945.
Paripurna_Ke_10_Persidangan_II_2024_2025,"rakyatlah yang menjadi tujuan, sehingga rakyatlah yang harus mendapatkan manfaat besar dari seluruh kebijakan dan program pembangunan nasional sehingga tidak ada rakyat yang tertinggal dan atau ditinggalkan oleh jalan yang pembangunan nasional. siddang dewan yang terhormat memasuki awal persidangan dpr-ri masa keanggotaan tahun 2024-2009, maka sejumlah anggota legislasi dpr-ri akan dilaksanakan berpedoman pada program legislasi nasional prolegnas, yaitu terdapat 41 ruu prioritas tahun 2025 dan enam diantaranya, merupakan rancangan undang-undang carryover dari dpr-ri priori sebelumnya. oleh karena itu, masa persidangan ini setiap akd dpr-ri yang terkait sudah harus mulai menjalankan tahapan pembentukan undang-undang sehingga dapat memenuhi target prolegnas tahun 2025 dan memenuhi kebutuhan hukum nasional. komitmen untuk mencapai target prolegnas merupakan komitmen dan kinerja bersama antara dpr-ri dan pemerintah dalam membentuk undang-undang. tahun anggaran 2025, merupakan tahun pertama apbn pemerintahan presiden prabowo terdapat kebijakan-kebijakan strategis yang membutuhkan berbagai penyesuaian kementerian lembaga, pemerintah, program-program pemerintah, serta kebijakan fiskal lainnya yang dapat dilakukan oleh pemerintah sesuai dengan kewenangannya yang diatur dalam peraturan perundang-undangan. dpr-ri akan selalu mencermati pelaksanaan apbn tahun anggaran 2025 agar dapat berjalan dengan kinerja yang baik. sehingga program pemerintah sungguh-sungguh dapat meningkatkan kualitas hidup rakyat, pendapatan rakyat meningkat, kebutuhan dasar terpenuhi, pelayanan publik yang mudah dan membantu, menguatkan pemberdayaan ekonomi rakyat dan lain sebagainya. dpr-ri juga akan mencermati dan menindak lanjuti sesuai fungsinya agar program pemerintah dilaksanakan sesuai dengan kemampuan keuangan negara, memiliki itigasi risiko dan memenuhi prinsip-prinsip tatak-kelola keuangan negara yang baik, efektif, efisien, ekonomis, transparan, akuntabel, serta memenuhi rasa keadilan dan kepatutan. setiap program pemerintah yang memiliki tujuan yang baik tetap membutuhkan perencanaan, pembiayaan, persiapan dan pelaksanaan yang juga baik, sehingga memenuhi prinsip-good governance dan juga memberikan kenyamanan bagi rakyat. di tengah ketidakpastian geopolitik dan geoekonomi global yang masih berlanjut, pemerintah diharapkan mampu mengantisipasi potensi risiko yang dapat mengancam ketahanan keuangan negara dan fiskal. koordinasi otoritas, monitor, fiskal, dan sektor keuangan perlu terus diperkuat dan diarahkan untuk menciptakan prekonomi nasional yang kondusif. belanja pemerintah harus semakin efektif dan efisien upaya dan kebijakan untuk menarik investasi membutuhkan iklim usaha yang ramah pada investor, kepastian hukum, kemudahan urusan birokrasi, serta stabilitas politik nasional yang baik.",Rapat Paripurna DPR RI menyetujui 41 RUU prioritas tahun 2025. DPR RI akan mencermati pelaksanaan APBN tahun anggaran 2025. Program Pemerintah diharapkan meningkatkan kualitas hidup rakyat. DPR RI akan memastikan program Pemerintah dilaksanakan sesuai kemampuan keuangan negara.
Paripurna_Ke_10_Persidangan_II_2024_2025,"dprri melalui akadir terkait dapat menjalankan fungsi konstitusionalnya akan mencermati dan menindaklanjuti bersama mitra kerja pemerintah untuk menjaga kondisi keuangan negara dan prekonomi nasional tetap kondusif bagi pembangunan nasional dan kegiatan ekonomi rakyat. siddang dewan yang terhormat, dprri dan pemerintah harus dapat merespon secara cepat berbagai permasalahan yang dihadapi rakyat. pemerintah sebagai pelaksana penanganan urusan-urusan rakyat telah dibekali dengan regulasi aparatur sipil negara, anggaran, dan program kementerian lembaga. oleh karena itu menjadi fungsi pengawasan dprri untuk memastikan kinerja regulasi aparatur sipil negara, kelembagaan, program, serta pengelolaan anggaran harus dapat berjalan efektif, tepat sasaran, dan tepat manfaat dalam menangani urusan rakyat. berbagai permasalahan yang akhir-akhir ini menjadi perhatian rakyat serta perlu segera ditindak lanjuti oleh alat kelengkapan dewan antara lain adalah sebagai berikut. satu, pelaksanaan program akan bergizi gratis. dua, penegakan kode etik dan hukum pada lembaga yang membidangi keteripan dan keamanan. tiga, berhizinan, penggunaan dan pengawasan senjata api oleh aparat. empat, penanganan berbagai permasalahan bencana alam banjir dan tanah longsor yang terjadi di sejumlah daerah. lima, stabilitas harga komoditas dan pasokan pangan serta tancar pengetian import beberapa komoditas pangan. enam, upaya peningkatan produksi pertanian untuk mendung suasmbada pangan. tujuh, penanganan kasus virus hmpv. delapan, penanganan wabah mulut dan kuku, pmk pada hewan ternak di berbagai wilayah. sembilan, penyelesaian seleksi pegawai honorar menjadi pegawai pemerintah dengan perjanjian kerja atau p3k. sepuluh, konflik pertanahan dan tata ruang serta penyediaan lahan untuk berbagai program pemerintah. sebelas, rencana penyimpanan defisa hasil ekspor cumberdaya alam minimal selama 1 tahun di dalam negeri. 12, penanganan kan kasus tindak pidana perdagangan orang atau tppo terhadap pni yang bekerja di luar negeri. 13, penanganan kasus kekerasan seksual, termasuk kekerasan seksual terhadap anak. 14, rencana pelaksanan ujian nasional tahun 2026,15, upaya mewujudkan suasmbada energi. 16, meningkatnya pengutusan hubungan kerja di sektor manufaktur. dan terakhir 17, bergabungnya indonesia menjadi anggota tetap bricks. pada masa reses persidangan satu yang lalu, melalui rapat kerja komisi delapan dprri dengan wakil pemerintah, telah berhasil menurunkan biaya penyelenggaraan ibadah haji atau bpih tahun 2025.","DPR RI mencermati dan menindaklanjuti berbagai permasalahan rakyat. Berbagai permasalahan yang menjadi perhatian rakyat antara lain pelaksanaan program bergizi gratis, penegakan kode etik, dan penanganan bencana alam. DPR RI akan memastikan kinerja regulasi aparatur sipil negara berjalan efektif."
Paripurna_Ke_10_Persidangan_II_2024_2025,"hal ini merupakan komitmen bersama dprri dan pemerintah untuk selalu dapat meningkatkan pelayanan ibadah haji dan mencari formula biaya penyelenggaraan ibadah haji yang dapat meringankan peserta atau jemaah haji. funksi diplomasi dprri akan terus diarahkan untuk membangun hubungan kerja sama antar-parlemen sejumlah agenda diplomasi dprri antara lain, sidang organisasi kerja sama dan pembangunan ekonomi, open government partnership, security conference, world trade organization, and interparlemen union. pada masa sidang ini, dprri juga akan menerima kehadiran delegasi dari negara-negara antara lain. dilegasi dari inggris, amerika serikat, jerman, yunani, jepang, marokko, belgia, serbia, australia, malaysia, singapura, dan swedia. pada tahun 2025 ini, indonesia akan menjadi tuan rumah dalam kegiatan konferensi asia afrika dan konferensi parlementari union of oec atau puic ke-19. sidang dewan yang terhormat demikianlah pokok-pokok kegiatan yang akan menjadi perhatian dprri melalui alat kelengkapan dewan pada masa persidangan dua. rakyat indonesia dapat turut mengawasi dan berpartisipasi dalam setia pelaksanaan fungsi dan tugas dprri sesuai dengan mekanisme dan ketentuannya. selanjutnya, dprri akan memasuki masa persidangan dua. dengan mengucapkan bismillahirrahmanirrahim, saya atas nama pimpinan dprri mengumumkan kepada seluruh rakyat indonesia bahwa masa persidangan dua tahun sidang 2024-2025 akan dimulai sejak hari ini 21 januari 2025 sampai dengan tanggal 20 maret 2025. kepada anggota dewan yang terhormat, kami menyampaikan selamat bekerja, menjalankan kedaulatan rakyat dan memperjuangkan kesejahteraan rakyat. semoga allah swt, tuhan yang mahesa, senantiasa memberikan rahmat dan bimbingannya bagi kita semua. terima kasih. wassalamu alaikum warahmatullahi wabarakatuh. yang terhormat para anggota dewan, hadirin yang kami muliakan. selanjutnya, marilah kita mengikuti perlantikan anggota pengganti antarwaktu dprri kepada sekretariat general dprri. kami mempersilakan untuk menyenanggarekan untuk pacara pelantikan anggota pengganti antarwaktu dprri. selamat datang. selamat datang. selamat datang. terus siapkan upacara penggujapan sumpah jancy, anggota dprri pengganti antarwaktu. kepada para calon anggota dprri yang kan dilantik, disilakan menempati tempat yang telah ditentukan. kepada pimpinan dprri, disilakan menempati tempat yang telah ditentukan. upacara penggujapan sumpah jancy, anggota dprri pengganti antarwaktu. masa kanggotaan 2024-2029 dibulai diawali dengan pembacaan petikan keputusan presiden republik indonesia.",DPR RI memulai Masa Persidangan II Tahun Sidang 2024-2025. Indonesia akan menjadi tuan rumah Konferensi Asia Afrika dan Konferensi Parlementari Union of OEC ke-19 pada 2025. DPR RI akan menerima delegasi dari beberapa negara. Masa persidangan ini berlangsung dari 21 Januari 2025 hingga 20 Maret 2025.
Paripurna_Ke_10_Persidangan_II_2024_2025,"petikan keputusan presiden republik indonesia, nomor 156, garis miring p, tahun 2024, tentang peresemian pengangkatan antarwaktu anggota dewan perwakilan rakyat dan anggota majelis permusiawaratan rakyat, sisa masa jabatan, tahun 2024-2029, dengan rahmatuhan yang mahasisah, presiden republik indonesia menimbang dan seterusnya mengingat dan seterusnya memutuskan, mendetapkan keputusan presiden tentang peresemian pengangkatan antarwaktu, anggota dewan perwakilan rakyat dan anggota majelis permusiawaratan rakyat, sisa masa jabatan, tahun 2024-2029. kesatu, terhitung sejak saat pengucapan sumpah janji meresemikan pengangkatan antarwaktu sebagai anggota dewan perwakilan rakyat, sampai dengan berakhirnya sisa masa jabatan, tahun 2024-2029, masing-masing atas nama, satu, dra haja anissa syakur mag, mewakili partai kebangkitan bangsa, daerah pemilihan jawa timur ii. mewakili partai kebangkitan bangsa, daerah pemilihan jawa timur ii. tiga, haji muhammad khosin map, mewakili partai kebangkitan bangsa, daerah pemilihan jawa timur iv. kedua, kedua, kedua, kedua, dan seterusnya, ketiga, keputusan presiden ini mulai berlaku pada tanggal ditetapkan, salinan, dan seterusnya, petikan keputusan presiden ini disampaikan kepada masing-masing yang bersangkutan untuk dipergunakan sebagai mana mestinya, ditetapkan di jakarta pada tanggal 12 desember 2024, presiden republik indonesia, tertanda prabowo subianto. persiapan bunga japan sumpah, rohani wan islam diselakan menempati tempat yang telah ditentukan. hadirin di mohon berdiri. bunga japan sumpah angkota dpr ri menurut islam, dipandu oleh ketua dpr. sebelum memangku jabatan angkota dewan perwakilan rakyat, sodara-sodara wajib bersumpah menurut agama islam. apakah sodara-sodara bersedia disumpah menurut agama islam? pertia. patut saya ingatkan bahwa sumpah yang akan sodara-sodara ucapkan mengandung tanggung jawab terhadap bangsa dan negara republik indonesia. tanggung jawab memelihara dan menyelamatkan pancasila dan undang-undang dasar negara republik indonesia tahun 1945. sumpah ini adalah terhadap tuhan yang mahesa dan manusia dan harus ditepati dengan segala keiklasan dan kejujuran. saya harap sodara-sodara mengikuti laval sumpah yang akan saya pandu. demi allah saya bersumpah. bahwa saya akan memenuhi kewajiban saya. sebagai angkota dewan perwakilan rakyat, dengan sebaik-baiknya dan seadil-adilnya, sesuai dengan peraturan perundang undangan, dengan berpedoman pada pancasila, dan undang-undang dasar negara republik indonesia tahun 1945, dengan undang-undang dasar negara republik indonesia tahun 1000 tahun. bahwa saya dalam menjalankan kewajiban akan bekerja dengan sungguh-sungguh.","Presiden Republik Indonesia menetapkan Keputusan Presiden Nomor 156/P Tahun 2024 tentang peresemian pengangkatan antarwaktu anggota DPR RI. Tiga anggota baru dilantik, yaitu DRA Haja Anissa Syakur, Haji Muhammad Khosin, dan lainnya. Mereka bersumpah sesuai dengan agama Islam. Pelantikan berlangsung pada 12 Desember 2024."
Paripurna_Ke_10_Persidangan_II_2024_2025,"demi tegaknya kehidupan demokrasi serta mengutamakan kepentingan bangsa dan negara daripada kepentingan pribadi sesuai dengan peraturan perundang dan kejujuran perundang. daripada kepentingan pribadi seseorang dan golongan, bahwa saya akan memperjuangkan aspirasi rakyat yang saya wakili untuk mewujudkan tujuan nasional demi kepentingan bangsa dan negara kesaatuan republik indonesia. rohani wan diselakan balik ke tepat semula. hadirin diselakan duduk kembali. persiapan pemberian ucapan selamat. pemberian ucapan selamat ke pada angkota dpr ri yang baru dilantik oleh pimpinan dpr. terima kasih. dilanjutkan dengan foto bersama pimpinan dpr ri dengan para angkota dpr yang baru saja dilantik. terima kasih. hadirin upacara pemucapan sumpah jajian kota dpr pengganti antar waktu telah selesai dan sebelum dilanjutkan kembali dengan rapat paripurna, diselakan kepada keluarga dan undangan untuk dapat meninggalkan ruang rapat paripurna. terima kasih. hadirin yang kami muliakan. pimpinan dewan mengucapkan selamat kepada angkota baru yang baru saja dilantik. semoga tetap amanah dengan bergabungnya saudara. akan lebih memperkenalkan pimpinan dpr. terima kasih. terima kasih. terima kasih. terima kasih. terima kasih. terima kasih. indonesia yang terus konsisten atas dukungan ini dan kita berharap mudah-mudahan ini juga bisa menjadi balas terima kasih kita sebagai bangsa atas dukungan palestina atas kemerdekaan proklamasi kemerdekaan indonesia tahun 1945. terima kasih. terima kasih. rp 10,000-rupiah sekarang kehilangan pelanggan. karena kebanyakan pelanggan lebih punya ilusi untuk membeli judol daripada membeli jajanan untuk keluarganya. oleh karena itu kami berharap mudah-mudahan pemerintah dan semua pihak yang konsen terhadap pembangunan kesejahteraan untuk rakyat ini serius menghentikan penjol dan judol yang sangat mengganggu upaya peningkatan kesejahteraan ini. di sisi yang lain judol dan penjol ini hanya akan mengganggu ketenangan masyarakat dan akan memperbodoh masyarakat. ini bentuk lain dari perang pemikiran. ini bentuk lain dari bentuk lain dari kognistip destruction penghancuran kecerdasan bangsa melalui judol dan penjol. terima kasih. selanjutnya, pak johan rosihan. ya. tidak ada. ya. pindah dulu ke pak habib sharif. terima kasih, pimpinan. mana pak habib sharif? opkb, ya. assalamu alaikum warahmatullahi wabarakatuh. saya habib sharif muhammad al-15 fraksi pkb dapil jawa barat 1. yang saya hormati pimpinan dewan beserta seluruh anggota. terima kasih atas pemberian waktunya.",Rapat Paripurna DPR RI menyambut anggota baru dan mengucapkan selamat. Pimpinan DPR RI berharap anggota baru dapat bekerja dengan amanah. Anggota DPR RI menyampaikan aspirasi rakyat dan mengharapkan pemerintah menghentikan penjol dan judol yang mengganggu kesejahteraan rakyat.
Paripurna_Ke_10_Persidangan_II_2024_2025,"dalam pari purna ini, izinkan saya menghitung relung hati ibu dan bapak bahwa pendidikan di indonesia benar-benar perlu diselamatkan. 23 tahun yang lalu di ruangan ini, kami telah berihtiar bersama mengambil langkah berani dengan menetapkan anggaran pendidikan sekurang-kurangnya 20 dari apbn dan apbd. dalam risalah persidangan, dapat ditelusuri panorama dialetika yang berlangsung saat itu, sesungguhnya sangat menggangkan dan alat. selama 9 bulan, kami dari pahsatu kebetulan saya ikut terlibat, berbagi kewatiran akan arah bangsa indonesia. hasilnya pasal pendidikan yang awalnya hanya terdiri dari dua ayat, kini berubah menjadi 5 ayat. di tengah gejolak ekonomi saat itu yang belum sepenuhnya pulih, kami tentu gelisah apakah negara mampu memenuhi keamanan konstitusi itu kelak. akhirnya, ketukan palu ketua mpr pada agustus 2002 di ruangan ini mengakhiri keraguan tersebut dengan meyakini bahwa setiap niat yang baik tentu akan menemui akhir yang baik. bapak ibu anggota dewan yang saya hormati, tapi hari ini mandatori pendidikan tersebut telah didekonstruksi sedemikian rupa dan menyimpang rasiologis yang dirumuskan. jelas, ini merupakan pengabayan secara sadar amanat suci konstitusi. tekst konstitusi tersebut sesungguhnya telah jelas. interpretatio cesat inclaris interpretatio s. jika tekst undang-undang telah jelas, maka tidak diperkenankan lagi menafsirkannya sebab penafsiran terhadap kata-kata yang jelas adalah penghancuran. ma rifatu wajib syayoon a udhim kiamubihi amrun a udham memahami esensi sebuah kewajiban adalah sesuatu yang urgent dan meimplementasikannya menjadi sebuah realitas adalah perkara yang lebih urgent. lalu apa yang keliru? pertama, berhenti mengatakan bahwa anggaran pendidikan 20 itu terlalu besar apalagi membanggakan jika telah memenuhi persentasi tersebut. frase sekurang-kurangnya 20 dari apbn dan apbd tersebut diputuskan setelah melalui pengkajian yang luar biasa. ketika itu kita telah berhasil melewati perdebatan. apakah anggaran berdasarkan gdp atau apbn? apakah perlu dicantumkan secara eksplisit dalam pasal undang-undang dasar atau tidak? hingga perdebatan besar anggaran pendidikan telah selesai. saat itu usulan yang hadir bahkan ada yang menyampaikan sampai 50 ketika itu ketua pasatu pak jakob dobbing menyepakati standar minimal 20. kedua, alokasi anggaran pendidikan 20 yang tidak sesuai. saat ini pos tur anggaran pendidikan dalam apbn 2025 terbagi-bagi terhadap berbagai pos dan kementerian. kurang lebih 22 kementerian. sesungguhnya masalah ini telah dituntaskan kejelasannya dalam perumusan oleh pak satu.","Anggota DPR menyampaikan kekhawatiran tentang pendidikan di Indonesia yang perlu diselamatkan. 23 tahun lalu, anggaran pendidikan sekurang-kurangnya 20% dari APBN dan APBD telah ditetapkan. Namun, saat ini, alokasi anggaran pendidikan 20% tidak sesuai dan terbagi-bagi ke berbagai pos dan kementerian."
Paripurna_Ke_10_Persidangan_II_2024_2025,"ketika itu dalam persidangan pak gun gunanjar sudarsa mudah-mudahan hadir pada kesempatan ini meminta penjelasan kepada profesor sudiarto. apakah 20 itu termasuk anggaran di sekolah ke dinasar? terima kasih. selanjutnya, pak riono. selamat alamakalim. wa alaikum warahmatullahi wabarakatuh. interrupti riono a-475 fraksi pks dabil jawa timur 7. yang terhormat, pimpinan rapat yang terhormat anggota dpr ri yang hadir, dalam kesempatan ini kami ingin menyampaikan keberihatinan terkait dengan kasus pemagaran laut sepanjang kurang lebih 30 km di wilayah tangrang, banten yang saat ini sedang menjadi perhatian luas dari masyarakat indonesia. kasus pemagaran ini sejatinya adalah gambaran nyata masih belum maksimalnya pengelulahan wilayah laut kita. oleh karena itu, kami memperhatikan prinsip pemanfaatan ruang laut di indonesia yang pertama, setara konstitusional pasal 33 y.3 undang-undang dasar 1945 menegaskan bahwa sumber daya alam dikuasai negara untuk kesejahteraan rakyat. pemanfaatan ruang laut harus mengutamakan kepentingan nelayan yang menggantungkan hidupnya pada laut. dua, utusan makamah konstitusi nomor tiga, garing puu strip 8 garing 2010 membatalkan konsep pengusahaan perairan pesisir dalam undang-undang batu-tujuh 2007 menegaskan bahwa pengelulahan tidak boleh bertentangan dengan keadilan sosial dan kesejahteraan rakyat. aturan teknis memenfaatan laut yang diatur dalam pemenkapi 2008 tahun 2021 mengatur bahwa setiap pemanfaatan ruang laut wajib memiliki kkprl, sesuai dengan junasi nasional dan daerah. berdasarkan prinsip yang dikemukakan di atas pemagaran laut yang terjadi saat ini secara nyata dilakukan tanpa memperhatikan institusi negara menghambat akses teman-teman nelayan dan menciptakan ke timpangan pemanfaatan sumber daya laut. berdasarkan berbagai peraturan dan prinsip keadilan yang terdisebutkan fraksi pks mengusuhkan untuk meminta pimpinan dpr membentuk pansus terkait dengan kasus pemagaran laut untuk mendukung umpaya tata-kelo laruang laut yang lebih bertanggung jawab. kedua mendesak pemerintah untuk melindungi hak-hak masyarakat pesisir khusus yang nelayan dengan memastikan mereka tetap memiliki akses untuk melautan pahambatan akibat pemagaran laut yang tidak sah. cee mengusut tuntas kasus pemagaran laut agar tidak menjadi president buruk dalam upaya penegakkan hukum dan tata-kelo laruang kelautan di indonesia. indahkan tegas terhadap papa yang terlibat dalam pemagaran illegal harus diambil guna menjaga keadilan dan keberlanjutan sektor berikanan nasional.","Anggota DPR RI dari Fraksi PKS menyampaikan keberatan terkait kasus pemagaran laut sepanjang 30 km di Tangrang, Banten. Kasus ini dianggap melanggar prinsip pemanfaatan ruang laut yang mengutamakan kepentingan nelayan. Fraksi PKS mendesak pimpinan DPR membentuk pansus untuk menangani kasus ini dan melindungi hak-hak masyarakat pesisir."
Paripurna_Ke_10_Persidangan_II_2024_2025,"kami apresiasi atas perintah president untuk kemudian menangani dan kemudian melihat kasus pemagaran laut ini secara komprehensif dengan melibatkan berbagai pihak. demikian interupsi yang kami sampaikan semoga kommerintah dapat segera mengambil langkah-langkah untuk kepentingan masyarakat dan keberlanjutan sumber daya laut kita. terima kasih. selamat alamakalilom dan selamat barokatuh. alamakalilom. hidup gak, nya? terima kasih. selanjutnya, pak nasir jamil. baik, terima kasih, ketua. assalamualaikum warahmatullahi wabarakatuh. pimpinan dan seluruh anggota dprri yang kami hormati. terima kasih atas kesempatan yang diberikan. pidatu ketua dpr dalam pembukaan masasi dang ini sangat menyentuh seluruh aspek hidup dan kehidupan berbangsa dan bernigara yang hari ini kita hadapi. ketua dan pimpinan serta anggota yang saya hormati dalam kesempatan ini saya ingin menyampaikan dan menyambung keresahan para dosen di daerah pemilihan saya. dan tentu saja, ini bukan hanya di daerah pemilihan saya, tapi juga mungkin terjadi di seluruh indonesia. jadi para dosen yang terkait dalam atau tergabung dalam alian c, dosen asn, kemendekti sentech seluruh indonesia atau yang disingkat dengan adaksi mereka melakukan protes ke tua kepada pemerintah melalui kemendekti sentech untuk membayar token mereka. karena sudah 5 tahun tak dibayarkan. mereka juga menuntut jika ini tidak dipenuhi mereka akan melakukan demo besar-besaran di jakarta dan mogok mengajar. noleh karena itu dalam kesempatan ini, mereka juga menyampaikan pesan kepada pimpinan dpr agar bisa mendesak pemerintah untuk membayar token mereka. karena bagi mereka ini tidak adil, karena sudah berlangsung sangat lama dan kementerian lainnya itu sudah melakukannya. noleh karena itu, agar tidak terjadi sebuah kok besar dan kemudian mereka tidak mengajar mudah-mudahan pimpinan dpr bisa menyampung keresahan dan aspirasi mereka agar hal ini bisa dilaksanakan. demikian, ketua terima kasih atas kesempatan diperikan. wassalamu alaikum warahmatullahi wabarakatuh. ya, terima kasih. sudah tidak ada lagi yang mau interupsi siddang dewan yang kami hormati, hadirannya kami muliakan dengan demikian, selesai acara rapat paripurna hari ini, selaku pimpinan dewan, rapat kami menyampaikan ucapan terima kasih kepada yang terhormat para anggota dewan dan hadiran sekalian atas hadirannya dalam rapat paripurna hari ini. kami ucapkan, selamat bekerja dengan seizin siddang dewan. maka perkenalkan kami menutup rapat paripurna dengan ucapan, alhamdulillahirrobil assalamu alaikum warahmatullahi wabarakatuh.","Anggota DPR menyampaikan aspirasi para dosen di daerah pemilihan mereka. Mereka menuntut pembayaran token yang belum dibayarkan selama 5 tahun. Jika tidak dipenuhi, mereka akan melakukan demo besar-besaran di Jakarta dan mogok mengajar. Anggota DPR meminta pimpinan DPR untuk mendesak pemerintah membayar token tersebut."
