no,file,format,durasi_detik,waktu_inferensi_detik,rasio_inferensi,status_inferensi,ram_awal_mb,ram_puncak_mb,status_ram,cold_start_total,status_cold_start,ukuran_model_gb,status_model_size,error
1,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP4,246.99,179.6,0.7272,LULUS,4734.02,5666.55,LULUS,9.24,LULUS,2.53,LULUS,
2,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP3,246.99,180.59,0.7312,LULUS,5666.89,5666.89,LULUS,9.24,LULUS,2.53,LULUS,
3,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,WAV,246.99,172.83,0.6997,LULUS,5666.78,5675.42,LULUS,9.24,LULUS,2.53,LULUS,
4,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP4,226.0,168.62,0.7461,LULUS,5673.45,5673.56,LULUS,9.24,LULUS,2.53,LULUS,
5,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP3,226.0,164.87,0.7295,LULUS,5672.64,5672.64,LULUS,9.24,LULUS,2.53,LULUS,
6,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,WAV,226.0,163.07,0.7216,LULUS,5660.03,5665.25,LULUS,9.24,LULUS,2.53,LULUS,
7,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP4,228.0,165.31,0.725,LULUS,5665.46,5665.54,LULUS,9.24,LULUS,2.53,LULUS,
8,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP3,228.0,163.51,0.7172,LULUS,5643.57,5657.27,LULUS,9.24,LULUS,2.53,LULUS,
9,Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,WAV,228.0,164.9,0.7233,LULUS,5640.98,5640.98,LULUS,9.24,LULUS,2.53,LULUS,
10,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP4,197.02,155.68,0.7902,LULUS,5637.76,5663.86,LULUS,9.24,LULUS,2.53,LULUS,
11,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP3,197.0,222.02,1.127,GAGAL,5647.31,5655.24,LULUS,9.24,LULUS,2.53,LULUS,
12,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,WAV,197.0,155.5,0.7893,LULUS,5655.48,5660.8,LULUS,9.24,LULUS,2.53,LULUS,
13,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP4,200.02,161.2,0.8059,LULUS,5628.95,5658.92,LULUS,9.24,LULUS,2.53,LULUS,
14,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP3,200.02,166.2,0.8309,LULUS,5656.94,5656.94,LULUS,9.24,LULUS,2.53,LULUS,
15,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,WAV,200.02,168.9,0.8444,LULUS,5649.11,5665.06,LULUS,9.24,LULUS,2.53,LULUS,
16,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP4,194.0,153.48,0.7911,LULUS,5665.26,5665.26,LULUS,9.24,LULUS,2.53,LULUS,
17,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP3,194.0,154.15,0.7946,LULUS,5661.73,5661.73,LULUS,9.24,LULUS,2.53,LULUS,
18,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,WAV,194.0,152.81,0.7877,LULUS,5650.04,5662.11,LULUS,9.24,LULUS,2.53,LULUS,
19,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP4,199.02,161.34,0.8107,LULUS,5662.31,5662.31,LULUS,9.24,LULUS,2.53,LULUS,
20,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP3,199.02,160.42,0.8061,LULUS,5636.38,5651.73,LULUS,9.24,LULUS,2.53,LULUS,
21,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,WAV,199.02,161.03,0.8091,LULUS,5626.44,5648.12,LULUS,9.24,LULUS,2.53,LULUS,
22,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP4,175.99,154.27,0.8766,LULUS,5605.93,5632.25,LULUS,9.24,LULUS,2.53,LULUS,
23,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP3,175.98,154.79,0.8796,LULUS,5631.25,5640.2,LULUS,9.24,LULUS,2.53,LULUS,
24,Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,WAV,175.98,153.37,0.8715,LULUS,5638.31,5638.31,LULUS,9.24,LULUS,2.53,LULUS,
25,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP4,200.04,164.06,0.8201,LULUS,5633.56,5664.93,LULUS,9.24,LULUS,2.53,LULUS,
26,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP3,199.97,155.14,0.7758,LULUS,5663.02,5663.02,LULUS,9.24,LULUS,2.53,LULUS,
27,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,WAV,199.97,163.5,0.8176,LULUS,5638.88,5662.84,LULUS,9.24,LULUS,2.53,LULUS,
28,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP4,203.04,171.73,0.8458,LULUS,5663.07,5663.07,LULUS,9.24,LULUS,2.53,LULUS,
29,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP3,203.04,164.76,0.8115,LULUS,5637.76,5651.83,LULUS,9.24,LULUS,2.53,LULUS,
30,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,WAV,203.04,170.21,0.8383,LULUS,5652.05,5665.86,LULUS,9.24,LULUS,2.53,LULUS,
31,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP4,249.02,201.61,0.8096,LULUS,5650.36,5654.41,LULUS,9.24,LULUS,2.53,LULUS,
32,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP3,249.01,220.71,0.8864,LULUS,5654.63,5655.21,LULUS,9.24,LULUS,2.53,LULUS,
33,Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,WAV,249.01,209.2,0.8401,LULUS,5572.0,5665.4,LULUS,9.24,LULUS,2.53,LULUS,
