file,format,rouge1,rouge2,rougeL,rougeLsum
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP4,0.5417,0.2553,0.3333,0.3333
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP3,0.4318,0.2326,0.3182,0.3182
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,WAV,0.5417,0.2553,0.3333,0.3333
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP4,0.3704,0.1509,0.1852,0.1852
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP3,0.381,0.1553,0.2667,0.2667
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,WAV,0.3704,0.1509,0.1852,0.1852
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP4,0.4286,0.1463,0.2857,0.2857
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP3,0.4667,0.1591,0.2444,0.2444
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,WAV,0.4286,0.1463,0.2857,0.2857
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP4,0.4536,0.3158,0.3505,0.3505
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP3,0.5,0.359,0.425,0.425
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,WAV,0.4536,0.3158,0.3505,0.3505
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP4,0.5208,0.2979,0.3542,0.3542
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP3,0.5,0.3023,0.3636,0.3636
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,WAV,0.5208,0.2979,0.3542,0.3542
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP4,0.375,0.2051,0.225,0.225
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP3,0.3146,0.1149,0.2022,0.2022
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,WAV,0.375,0.2051,0.225,0.225
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP4,0.3299,0.0632,0.2268,0.2268
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP3,0.3556,0.1364,0.2667,0.2667
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,WAV,0.3299,0.0632,0.2268,0.2268
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP4,0.3256,0.119,0.2326,0.2326
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP3,0.2857,0.16,0.1818,0.1818
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,WAV,0.3256,0.119,0.2326,0.2326
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP4,0.4948,0.2105,0.2268,0.2268
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP3,0.4742,0.1895,0.2268,0.2268
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,WAV,0.4948,0.2105,0.2268,0.2268
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP4,0.4956,0.1802,0.3363,0.3363
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP3,0.4486,0.1524,0.2991,0.2991
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,WAV,0.4956,0.1802,0.3363,0.3363
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP4,0.4054,0.2778,0.2973,0.2973
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP3,0.354,0.1982,0.2655,0.2655
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,WAV,0.4054,0.2778,0.2973,0.2973
