file,format,durasi_detik,waktu_transkripsi,waktu_filter,waktu_ringkasan,waktu_total
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP4,246.99,194.24,0.0005,9.83,204.07
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,MP3,246.99,176.33,0.0005,5.8,182.13
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg01,WAV,246.99,178.15,0.0005,6.38,184.53
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP4,226.0,165.94,0.0006,6.92,172.86
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,MP3,226.0,165.59,0.0005,7.86,173.45
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg02,WAV,226.0,164.68,0.0005,7.43,172.11
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP4,228.0,168.92,0.0003,4.96,173.88
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,MP3,228.0,166.97,0.0005,5.4,172.37
Uji_Paripurna_Ke_7_Persidangan_II_2025_2026_seg03,WAV,228.0,161.13,0.0006,4.83,165.96
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP4,197.02,155.39,0.0005,8.78,164.17
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,MP3,197.0,183.34,0.0004,6.98,190.32
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg01,WAV,197.0,147.68,0.0005,8.2,155.88
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP4,200.02,155.79,0.0005,7.7,163.49
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,MP3,200.02,157.62,0.0006,6.59,164.21
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg02,WAV,200.02,160.85,0.0004,8.52,169.37
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP4,194.0,145.08,0.0005,7.46,152.54
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,MP3,194.0,148.85,0.0005,8.32,157.17
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg03,WAV,194.0,149.06,0.0005,7.44,156.5
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP4,199.02,155.05,0.0005,7.95,163.0
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,MP3,199.02,155.34,0.0005,7.95,163.29
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg04,WAV,199.02,155.88,0.0003,7.8,163.68
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP4,175.99,146.49,0.0005,7.94,154.43
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,MP3,175.98,148.28,0.0005,6.15,154.43
Uji_Paripurna_Ke_8_Persidangan_II_2025_2026_seg05,WAV,175.98,146.66,0.0005,7.95,154.61
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP4,200.04,157.86,0.0004,6.93,164.79
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,MP3,199.97,149.48,0.0005,7.22,156.7
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg01,WAV,199.97,158.84,0.0005,7.1,165.94
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP4,203.04,167.7,0.0004,6.68,174.38
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,MP3,203.04,162.58,0.0005,6.13,168.71
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg02,WAV,203.04,167.09,0.0005,6.73,173.82
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP4,249.02,193.03,0.0006,5.03,198.06
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,MP3,249.01,194.22,0.0004,11.2,205.42
Uji_Paripurna_Ke_20_Persidangan_IV_2024_2025_seg03,WAV,249.01,192.87,0.0006,4.97,197.84
